id_producto,nombre,categoria,subcategoria,marca,precio_lista,costo_unitario,fecha_alta
P0001,Abarrotes Arroz y cereales Buen Grano GP-158,Abarrotes,Arroz y cereales,Buen Grano,66.42,54.46,2021-12-20
P0002,Abarrotes Menestras Valle Real NJ-139,Abarrotes,Menestras,Valle Real,23.68,19.42,2021-01-06
P0003,Abarrotes Arroz y cereales Andes Selecto UX-698,Abarrotes,Arroz y cereales,Andes Selecto,43.01,35.27,2020-04-10
P0004,Abarrotes Menestras Valle Real PA-797,Abarrotes,Menestras,,3.0,2.46,2021-12-27
P0005,Abarrotes Menestras Valle Real SG-911,Abarrotes,Menestras,Valle Real,30.48,24.99,2020-06-30
P0006,Abarrotes Arroz y cereales Valle Real RU-707,Abarrotes,Arroz y cereales,Valle Real,35.95,29.48,2021-10-13
P0007,Abarrotes Snacks Valle Real WW-364,Abarrotes,Snacks,Valle Real,18.33,15.03,2022-10-22
P0008,Abarrotes Desayuno Casa Norte UV-681,Abarrotes,Desayuno,Casa Norte,49.32,40.44,2022-05-24
P0009,Abarrotes Conservas Valle Real SS-188,Abarrotes,Conservas,Valle Real,75.85,62.2,2022-05-21
P0010,Abarrotes Menestras Buen Grano TB-729,Abarrotes,Menestras,Buen Grano,72.24,59.24,2021-04-19
P0011,Abarrotes Arroz y cereales Valle Real BF-557,Abarrotes,Arroz y cereales,Valle Real,56.29,46.16,2021-03-27
P0012,Abarrotes Conservas Andes Selecto FH-698,Abarrotes,Conservas,Andes Selecto,56.67,46.47,2020-10-13
P0013,Abarrotes Menestras Andes Selecto FZ-689,Abarrotes,Menestras,Andes Selecto,40.46,33.18,2021-06-02
P0014,Abarrotes Menestras Buen Grano KE-846,Abarrotes,Menestras,Buen Grano,59.04,48.41,2020-07-26
P0015,Abarrotes Desayuno Buen Grano KO-880,Abarrotes,Desayuno,Buen Grano,50.48,41.39,2020-02-07
P0016,Abarrotes Conservas Valle Real QG-208,Abarrotes,Conservas,Valle Real,40.6,33.29,2021-04-05
P0017,Abarrotes Desayuno Valle Real JE-967,Abarrotes,Desayuno,Valle Real,54.7,44.85,2022-05-24
P0018,Abarrotes Menestras Casa Norte RE-317,Abarrotes,Menestras,Casa Norte,2.14,1.75,2021-04-01
P0019,Abarrotes Arroz y cereales Casa Norte ZQ-848,Abarrotes,Arroz y cereales,Casa Norte,42.51,34.86,2022-04-04
P0020,Abarrotes Conservas Buen Grano SE-488,Abarrotes,Conservas,Buen Grano,9.29,7.62,2021-07-01
P0021,Abarrotes Arroz y cereales Casa Norte SR-663,Abarrotes,Arroz y cereales,Casa Norte,79.2,64.94,2021-01-21
P0022,Abarrotes Arroz y cereales Valle Real PM-002,Abarrotes,Arroz y cereales,Valle Real,58.95,48.34,2021-01-27
P0023,Abarrotes Snacks Valle Real XM-787,Abarrotes,Snacks,Valle Real,46.23,37.91,2021-10-26
